d_loss,gradient_norm
"tf.Tensor(2.905918, shape=(), dtype=float32)",1.2280846
"tf.Tensor(2.9460912, shape=(), dtype=float32)",1.0398024
"tf.Tensor(3.0381818, shape=(), dtype=float32)",0.8637598
"tf.Tensor(2.9524076, shape=(), dtype=float32)",0.84670794
"tf.Tensor(3.0052423, shape=(), dtype=float32)",0.8485681
"tf.Tensor(2.996724, shape=(), dtype=float32)",0.7390138
"tf.Tensor(2.9471602, shape=(), dtype=float32)",0.7543602
"tf.Tensor(2.8863482, shape=(), dtype=float32)",1.116156
"tf.Tensor(2.9339395, shape=(), dtype=float32)",0.71459085
"tf.Tensor(3.022951, shape=(), dtype=float32)",0.5304375
"tf.Tensor(2.958136, shape=(), dtype=float32)",0.7499193
"tf.Tensor(3.0509815, shape=(), dtype=float32)",0.6216183
"tf.Tensor(2.9792972, shape=(), dtype=float32)",0.6429903
"tf.Tensor(3.0418124, shape=(), dtype=float32)",0.55320704
"tf.Tensor(3.0378623, shape=(), dtype=float32)",0.5902141
"tf.Tensor(2.9999628, shape=(), dtype=float32)",0.4861548
"tf.Tensor(2.9775376, shape=(), dtype=float32)",0.48390558
"tf.Tensor(3.0579858, shape=(), dtype=float32)",0.43932313
"tf.Tensor(3.0512643, shape=(), dtype=float32)",0.44253838
"tf.Tensor(3.0296195, shape=(), dtype=float32)",0.40766564
"tf.Tensor(3.0514352, shape=(), dtype=float32)",0.38693535
"tf.Tensor(3.0403628, shape=(), dtype=float32)",0.3835008
"tf.Tensor(3.0969322, shape=(), dtype=float32)",0.3884682
"tf.Tensor(3.0409808, shape=(), dtype=float32)",0.38819674
"tf.Tensor(3.077848, shape=(), dtype=float32)",0.46243507
"tf.Tensor(3.0590725, shape=(), dtype=float32)",0.46455047
"tf.Tensor(3.1025298, shape=(), dtype=float32)",0.5228888
"tf.Tensor(3.0480337, shape=(), dtype=float32)",0.507336
"tf.Tensor(3.110106, shape=(), dtype=float32)",0.4116782
"tf.Tensor(3.0410955, shape=(), dtype=float32)",0.56545335
"tf.Tensor(3.0900884, shape=(), dtype=float32)",0.66438735
"tf.Tensor(3.1206946, shape=(), dtype=float32)",0.4490722
"tf.Tensor(3.1166043, shape=(), dtype=float32)",0.48216972
"tf.Tensor(3.153923, shape=(), dtype=float32)",0.4263951
"tf.Tensor(3.1772792, shape=(), dtype=float32)",0.17533557
"tf.Tensor(3.1178436, shape=(), dtype=float32)",0.33036196
"tf.Tensor(3.1476598, shape=(), dtype=float32)",0.28619453
"tf.Tensor(3.136278, shape=(), dtype=float32)",0.34687254
"tf.Tensor(3.2144246, shape=(), dtype=float32)",0.30353263
"tf.Tensor(3.2057552, shape=(), dtype=float32)",0.2047676
"tf.Tensor(3.2099557, shape=(), dtype=float32)",0.23834656
"tf.Tensor(3.1957922, shape=(), dtype=float32)",0.2277982
"tf.Tensor(3.2423248, shape=(), dtype=float32)",0.22682317
"tf.Tensor(3.1966796, shape=(), dtype=float32)",0.4292646
"tf.Tensor(3.1144485, shape=(), dtype=float32)",0.91607314
"tf.Tensor(2.6403377, shape=(), dtype=float32)",4.1168056
"tf.Tensor(2.0989766, shape=(), dtype=float32)",3.5841053
"tf.Tensor(1.693685, shape=(), dtype=float32)",2.840343
"tf.Tensor(1.7439991, shape=(), dtype=float32)",3.021656
"tf.Tensor(1.7039812, shape=(), dtype=float32)",2.8880675
"tf.Tensor(1.6754336, shape=(), dtype=float32)",2.9308956
"tf.Tensor(1.6883345, shape=(), dtype=float32)",3.0411491
"tf.Tensor(1.6574626, shape=(), dtype=float32)",3.5607321
"tf.Tensor(1.6277524, shape=(), dtype=float32)",3.3276095
"tf.Tensor(1.7109118, shape=(), dtype=float32)",3.0482302
"tf.Tensor(1.5972188, shape=(), dtype=float32)",3.2653878
"tf.Tensor(1.6710026, shape=(), dtype=float32)",3.1621344
"tf.Tensor(1.7445638, shape=(), dtype=float32)",3.5705724
"tf.Tensor(1.5309299, shape=(), dtype=float32)",3.3011732
"tf.Tensor(1.6302032, shape=(), dtype=float32)",3.1813056
"tf.Tensor(1.6346831, shape=(), dtype=float32)",2.9585745
"tf.Tensor(1.5256507, shape=(), dtype=float32)",2.9983597
"tf.Tensor(1.605504, shape=(), dtype=float32)",3.3369691
"tf.Tensor(1.6682963, shape=(), dtype=float32)",3.2673914
"tf.Tensor(1.6479793, shape=(), dtype=float32)",3.305906
"tf.Tensor(1.5682123, shape=(), dtype=float32)",2.8786523
"tf.Tensor(1.5870651, shape=(), dtype=float32)",3.14064
"tf.Tensor(1.5371485, shape=(), dtype=float32)",3.3290594
"tf.Tensor(1.6119317, shape=(), dtype=float32)",2.980885
"tf.Tensor(1.4597032, shape=(), dtype=float32)",2.5685706
"tf.Tensor(1.5984588, shape=(), dtype=float32)",2.8894072
"tf.Tensor(1.448561, shape=(), dtype=float32)",3.0412593
"tf.Tensor(1.3972831, shape=(), dtype=float32)",2.6871488
"tf.Tensor(1.4190514, shape=(), dtype=float32)",2.9081373
"tf.Tensor(1.4384481, shape=(), dtype=float32)",2.8003824
"tf.Tensor(1.3974755, shape=(), dtype=float32)",2.7294524
"tf.Tensor(1.3091846, shape=(), dtype=float32)",3.0757015
"tf.Tensor(1.5070727, shape=(), dtype=float32)",3.4595494
"tf.Tensor(1.471185, shape=(), dtype=float32)",3.4053385
"tf.Tensor(1.4059021, shape=(), dtype=float32)",3.5896552
"tf.Tensor(1.4677799, shape=(), dtype=float32)",3.8529692
"tf.Tensor(1.4265361, shape=(), dtype=float32)",4.3217616
"tf.Tensor(1.3515648, shape=(), dtype=float32)",5.0184717
"tf.Tensor(1.4235419, shape=(), dtype=float32)",5.320177
"tf.Tensor(1.3900565, shape=(), dtype=float32)",6.0705657
"tf.Tensor(1.6857831, shape=(), dtype=float32)",6.340239
"tf.Tensor(1.8071454, shape=(), dtype=float32)",6.6748195
"tf.Tensor(1.8377514, shape=(), dtype=float32)",6.8933554
"tf.Tensor(1.8680413, shape=(), dtype=float32)",6.8477693
"tf.Tensor(1.913878, shape=(), dtype=float32)",6.9046116
"tf.Tensor(1.9612819, shape=(), dtype=float32)",7.139417
"tf.Tensor(2.0503917, shape=(), dtype=float32)",7.372383
"tf.Tensor(2.1589472, shape=(), dtype=float32)",6.822929
"tf.Tensor(2.1407423, shape=(), dtype=float32)",6.693591
"tf.Tensor(2.2069566, shape=(), dtype=float32)",6.8271093
"tf.Tensor(2.1746278, shape=(), dtype=float32)",6.6987567
"tf.Tensor(2.160523, shape=(), dtype=float32)",6.603251
"tf.Tensor(2.230774, shape=(), dtype=float32)",6.7653146
"tf.Tensor(2.155235, shape=(), dtype=float32)",6.9135056
"tf.Tensor(2.4133124, shape=(), dtype=float32)",6.1417494
"tf.Tensor(2.2138813, shape=(), dtype=float32)",6.6404386
"tf.Tensor(2.2283628, shape=(), dtype=float32)",6.389788
"tf.Tensor(2.4046373, shape=(), dtype=float32)",6.256672
"tf.Tensor(2.3970923, shape=(), dtype=float32)",5.8801017
"tf.Tensor(2.3926392, shape=(), dtype=float32)",6.169442
"tf.Tensor(2.4656157, shape=(), dtype=float32)",6.1679826
"tf.Tensor(2.449883, shape=(), dtype=float32)",5.9505486
"tf.Tensor(2.573257, shape=(), dtype=float32)",5.331051
"tf.Tensor(2.5369134, shape=(), dtype=float32)",5.203433
"tf.Tensor(2.6390746, shape=(), dtype=float32)",5.0155215
"tf.Tensor(2.6541102, shape=(), dtype=float32)",4.58621
"tf.Tensor(2.6503732, shape=(), dtype=float32)",4.2631865
"tf.Tensor(2.749603, shape=(), dtype=float32)",4.0860415
"tf.Tensor(2.7858596, shape=(), dtype=float32)",3.7342005
"tf.Tensor(2.7853847, shape=(), dtype=float32)",3.625876
"tf.Tensor(2.8769999, shape=(), dtype=float32)",3.2250264
"tf.Tensor(2.889544, shape=(), dtype=float32)",2.8181689
"tf.Tensor(2.8116958, shape=(), dtype=float32)",3.4264674
"tf.Tensor(2.8899767, shape=(), dtype=float32)",2.711369
"tf.Tensor(2.915566, shape=(), dtype=float32)",2.711655
"tf.Tensor(2.8559318, shape=(), dtype=float32)",2.6199918
"tf.Tensor(2.8459847, shape=(), dtype=float32)",2.8282418
"tf.Tensor(2.8898993, shape=(), dtype=float32)",2.6072667
"tf.Tensor(2.9152393, shape=(), dtype=float32)",2.450896
"tf.Tensor(2.878045, shape=(), dtype=float32)",2.3411427
"tf.Tensor(2.918407, shape=(), dtype=float32)",2.1976893
"tf.Tensor(2.9582965, shape=(), dtype=float32)",2.0561373
"tf.Tensor(3.0077703, shape=(), dtype=float32)",1.9537842
"tf.Tensor(2.9236798, shape=(), dtype=float32)",2.1431055
"tf.Tensor(2.9949594, shape=(), dtype=float32)",2.1716664
"tf.Tensor(2.8986936, shape=(), dtype=float32)",2.3052406
"tf.Tensor(2.949985, shape=(), dtype=float32)",2.2755566
"tf.Tensor(2.857604, shape=(), dtype=float32)",2.4162538
"tf.Tensor(2.872915, shape=(), dtype=float32)",2.6001594
"tf.Tensor(2.851847, shape=(), dtype=float32)",2.5832968
"tf.Tensor(2.820663, shape=(), dtype=float32)",2.848869
"tf.Tensor(2.8542058, shape=(), dtype=float32)",2.88044
"tf.Tensor(2.9014082, shape=(), dtype=float32)",2.7812142
"tf.Tensor(2.8282518, shape=(), dtype=float32)",2.8357866
"tf.Tensor(2.837779, shape=(), dtype=float32)",2.8496747
"tf.Tensor(2.8289404, shape=(), dtype=float32)",2.8758216
"tf.Tensor(2.8759055, shape=(), dtype=float32)",2.7702274
"tf.Tensor(2.8494778, shape=(), dtype=float32)",2.7144475
"tf.Tensor(2.847539, shape=(), dtype=float32)",2.6911383
"tf.Tensor(2.8755553, shape=(), dtype=float32)",2.4616876
"tf.Tensor(2.8619137, shape=(), dtype=float32)",2.7741764
"tf.Tensor(2.8843336, shape=(), dtype=float32)",2.6017928
"tf.Tensor(2.81396, shape=(), dtype=float32)",2.7645392
"tf.Tensor(2.8464627, shape=(), dtype=float32)",2.8936307
"tf.Tensor(2.8804042, shape=(), dtype=float32)",2.8025131
"tf.Tensor(2.8297586, shape=(), dtype=float32)",3.0029042
"tf.Tensor(2.8646927, shape=(), dtype=float32)",2.9545445
"tf.Tensor(2.83404, shape=(), dtype=float32)",2.8787854
"tf.Tensor(2.8458688, shape=(), dtype=float32)",2.9434664
"tf.Tensor(2.7917192, shape=(), dtype=float32)",3.0646122
"tf.Tensor(2.8141863, shape=(), dtype=float32)",2.964337
"tf.Tensor(2.8648303, shape=(), dtype=float32)",2.8275723
"tf.Tensor(2.733937, shape=(), dtype=float32)",3.1809092
"tf.Tensor(2.909065, shape=(), dtype=float32)",2.855432
"tf.Tensor(2.8026712, shape=(), dtype=float32)",3.009336
"tf.Tensor(2.8417199, shape=(), dtype=float32)",3.1588118
"tf.Tensor(2.8305027, shape=(), dtype=float32)",3.2135274
"tf.Tensor(2.7807574, shape=(), dtype=float32)",3.3183699
"tf.Tensor(2.8548164, shape=(), dtype=float32)",3.1944163
"tf.Tensor(2.779507, shape=(), dtype=float32)",3.352038
"tf.Tensor(2.8201058, shape=(), dtype=float32)",3.3925443
"tf.Tensor(2.7786932, shape=(), dtype=float32)",3.3150563
"tf.Tensor(2.8668265, shape=(), dtype=float32)",3.5087833
"tf.Tensor(2.7856631, shape=(), dtype=float32)",3.4867444
"tf.Tensor(2.7794123, shape=(), dtype=float32)",3.5181603
"tf.Tensor(2.7650309, shape=(), dtype=float32)",3.5069313
"tf.Tensor(2.6981647, shape=(), dtype=float32)",3.801893
"tf.Tensor(2.7102866, shape=(), dtype=float32)",3.7988157
"tf.Tensor(2.7139409, shape=(), dtype=float32)",3.643873
"tf.Tensor(2.7586598, shape=(), dtype=float32)",3.753912
"tf.Tensor(2.790541, shape=(), dtype=float32)",3.6634161
"tf.Tensor(2.7938614, shape=(), dtype=float32)",3.888701
"tf.Tensor(2.727995, shape=(), dtype=float32)",3.9141397
"tf.Tensor(2.6962647, shape=(), dtype=float32)",4.056858
"tf.Tensor(2.7356493, shape=(), dtype=float32)",3.945576
"tf.Tensor(2.7708063, shape=(), dtype=float32)",3.7664573
"tf.Tensor(2.7550883, shape=(), dtype=float32)",3.868145
"tf.Tensor(2.7251077, shape=(), dtype=float32)",4.2863264
"tf.Tensor(2.6431937, shape=(), dtype=float32)",4.0403066
"tf.Tensor(2.685474, shape=(), dtype=float32)",4.0057893
"tf.Tensor(2.7172222, shape=(), dtype=float32)",4.0617156
"tf.Tensor(2.7621574, shape=(), dtype=float32)",3.8115313
"tf.Tensor(2.780725, shape=(), dtype=float32)",3.9614127
"tf.Tensor(2.7805119, shape=(), dtype=float32)",3.8185966
"tf.Tensor(2.6814718, shape=(), dtype=float32)",4.023402
"tf.Tensor(2.6840942, shape=(), dtype=float32)",3.9670181
"tf.Tensor(2.7358565, shape=(), dtype=float32)",3.8813639
"tf.Tensor(2.7365074, shape=(), dtype=float32)",3.8197017
"tf.Tensor(2.730284, shape=(), dtype=float32)",4.023906
"tf.Tensor(2.7195785, shape=(), dtype=float32)",4.001049
"tf.Tensor(2.7381306, shape=(), dtype=float32)",4.1412873
"tf.Tensor(2.73756, shape=(), dtype=float32)",4.1342382
"tf.Tensor(2.6802182, shape=(), dtype=float32)",4.280951
"tf.Tensor(2.6589518, shape=(), dtype=float32)",4.2513027
"tf.Tensor(2.6528125, shape=(), dtype=float32)",4.184938
"tf.Tensor(2.6566875, shape=(), dtype=float32)",3.9653077
"tf.Tensor(2.7362096, shape=(), dtype=float32)",4.049671
"tf.Tensor(2.7042804, shape=(), dtype=float32)",4.048231
"tf.Tensor(2.625033, shape=(), dtype=float32)",3.9633758
"tf.Tensor(2.6990428, shape=(), dtype=float32)",3.9523497
"tf.Tensor(2.7642136, shape=(), dtype=float32)",3.9077582
"tf.Tensor(2.7324004, shape=(), dtype=float32)",3.9206095
"tf.Tensor(2.7701645, shape=(), dtype=float32)",3.848412
"tf.Tensor(2.727643, shape=(), dtype=float32)",3.8491912
"tf.Tensor(2.6997366, shape=(), dtype=float32)",3.8022847
"tf.Tensor(2.686989, shape=(), dtype=float32)",3.7921562
"tf.Tensor(2.6840398, shape=(), dtype=float32)",3.7036808
"tf.Tensor(2.7673283, shape=(), dtype=float32)",3.8139045
"tf.Tensor(2.7097595, shape=(), dtype=float32)",3.9115129
"tf.Tensor(2.7050505, shape=(), dtype=float32)",3.9272492
"tf.Tensor(2.6698442, shape=(), dtype=float32)",3.9864633
"tf.Tensor(2.7290597, shape=(), dtype=float32)",3.8827803
"tf.Tensor(2.716022, shape=(), dtype=float32)",3.8265445
"tf.Tensor(2.6932878, shape=(), dtype=float32)",3.967996
"tf.Tensor(2.71516, shape=(), dtype=float32)",3.7537608
"tf.Tensor(2.6753707, shape=(), dtype=float32)",3.94769
"tf.Tensor(2.6891186, shape=(), dtype=float32)",4.107589
"tf.Tensor(2.62945, shape=(), dtype=float32)",4.1808004
"tf.Tensor(2.6511252, shape=(), dtype=float32)",4.094672
"tf.Tensor(2.6140583, shape=(), dtype=float32)",4.4179716
"tf.Tensor(2.6202865, shape=(), dtype=float32)",4.1779847
"tf.Tensor(2.5657747, shape=(), dtype=float32)",4.3712225
"tf.Tensor(2.607456, shape=(), dtype=float32)",4.3085966
"tf.Tensor(2.6387086, shape=(), dtype=float32)",4.3288555
"tf.Tensor(2.5989704, shape=(), dtype=float32)",4.2235866
"tf.Tensor(2.6066926, shape=(), dtype=float32)",4.4061074
"tf.Tensor(2.5710993, shape=(), dtype=float32)",4.483768
"tf.Tensor(2.5788407, shape=(), dtype=float32)",4.5102997
"tf.Tensor(2.5396824, shape=(), dtype=float32)",4.5932837
"tf.Tensor(2.5652325, shape=(), dtype=float32)",4.559321
"tf.Tensor(2.5125241, shape=(), dtype=float32)",4.6186714
"tf.Tensor(2.461602, shape=(), dtype=float32)",4.764106
"tf.Tensor(2.4510438, shape=(), dtype=float32)",4.7667747
"tf.Tensor(2.4267635, shape=(), dtype=float32)",4.7607937
"tf.Tensor(2.4907598, shape=(), dtype=float32)",4.784193
"tf.Tensor(2.464594, shape=(), dtype=float32)",5.250506
"tf.Tensor(2.4798715, shape=(), dtype=float32)",5.3595147
"tf.Tensor(2.3626108, shape=(), dtype=float32)",5.167868
"tf.Tensor(2.4005425, shape=(), dtype=float32)",5.1032605
"tf.Tensor(2.4709873, shape=(), dtype=float32)",5.2282777
"tf.Tensor(2.4618392, shape=(), dtype=float32)",5.0077114
"tf.Tensor(2.4986928, shape=(), dtype=float32)",4.9755077
"tf.Tensor(2.4854822, shape=(), dtype=float32)",4.933024
"tf.Tensor(2.4633071, shape=(), dtype=float32)",4.7837663
"tf.Tensor(2.414554, shape=(), dtype=float32)",4.789797
"tf.Tensor(2.4952023, shape=(), dtype=float32)",4.7444715
"tf.Tensor(2.538502, shape=(), dtype=float32)",4.9003663
"tf.Tensor(2.5144985, shape=(), dtype=float32)",4.8046966
"tf.Tensor(2.5264847, shape=(), dtype=float32)",4.64832
"tf.Tensor(2.5376587, shape=(), dtype=float32)",4.5076838
"tf.Tensor(2.5272593, shape=(), dtype=float32)",4.712112
"tf.Tensor(2.4610257, shape=(), dtype=float32)",4.7302303
"tf.Tensor(2.5088098, shape=(), dtype=float32)",4.7789025
"tf.Tensor(2.515941, shape=(), dtype=float32)",4.8618298
"tf.Tensor(2.5366256, shape=(), dtype=float32)",4.9458365
"tf.Tensor(2.5049198, shape=(), dtype=float32)",4.816945
"tf.Tensor(2.5378196, shape=(), dtype=float32)",4.723397
"tf.Tensor(2.6247644, shape=(), dtype=float32)",4.5865526
"tf.Tensor(2.5473409, shape=(), dtype=float32)",4.401221
"tf.Tensor(2.6277142, shape=(), dtype=float32)",4.4580374
"tf.Tensor(2.6225166, shape=(), dtype=float32)",4.1987824
"tf.Tensor(2.6377668, shape=(), dtype=float32)",4.0732555
"tf.Tensor(2.660625, shape=(), dtype=float32)",4.0504484
"tf.Tensor(2.6463146, shape=(), dtype=float32)",4.108014
"tf.Tensor(2.625362, shape=(), dtype=float32)",4.172605
"tf.Tensor(2.5989492, shape=(), dtype=float32)",4.0950475
"tf.Tensor(2.5855904, shape=(), dtype=float32)",4.0125623
"tf.Tensor(2.6623147, shape=(), dtype=float32)",4.3723884
"tf.Tensor(2.5989766, shape=(), dtype=float32)",4.3356614
"tf.Tensor(2.5025518, shape=(), dtype=float32)",4.4466176
"tf.Tensor(2.455289, shape=(), dtype=float32)",4.686342
"tf.Tensor(2.378714, shape=(), dtype=float32)",5.0514336
"tf.Tensor(2.3782074, shape=(), dtype=float32)",5.240721
"tf.Tensor(2.4307935, shape=(), dtype=float32)",4.923653
"tf.Tensor(2.4539042, shape=(), dtype=float32)",4.898382
"tf.Tensor(2.4978411, shape=(), dtype=float32)",4.8777337
"tf.Tensor(2.414455, shape=(), dtype=float32)",4.763826
"tf.Tensor(2.5227928, shape=(), dtype=float32)",4.556195
"tf.Tensor(2.496144, shape=(), dtype=float32)",4.4254837
"tf.Tensor(2.5424335, shape=(), dtype=float32)",4.2470818
"tf.Tensor(2.5890498, shape=(), dtype=float32)",4.3298955
"tf.Tensor(2.5369568, shape=(), dtype=float32)",4.2245307
"tf.Tensor(2.5503063, shape=(), dtype=float32)",4.3177767
"tf.Tensor(2.5036511, shape=(), dtype=float32)",4.256193
"tf.Tensor(2.5525248, shape=(), dtype=float32)",4.2284417
"tf.Tensor(2.5472577, shape=(), dtype=float32)",4.266726
"tf.Tensor(2.5202222, shape=(), dtype=float32)",4.4260273
"tf.Tensor(2.4969995, shape=(), dtype=float32)",4.4664426
"tf.Tensor(2.492897, shape=(), dtype=float32)",4.849962
"tf.Tensor(2.4733653, shape=(), dtype=float32)",4.744812
"tf.Tensor(2.439665, shape=(), dtype=float32)",4.8506145
"tf.Tensor(2.3847837, shape=(), dtype=float32)",4.7868295
"tf.Tensor(2.4177656, shape=(), dtype=float32)",4.8569174
"tf.Tensor(2.4405699, shape=(), dtype=float32)",4.700271
"tf.Tensor(2.3690248, shape=(), dtype=float32)",5.0406713
"tf.Tensor(2.426894, shape=(), dtype=float32)",4.5507665
"tf.Tensor(2.517268, shape=(), dtype=float32)",4.660363
"tf.Tensor(2.4766443, shape=(), dtype=float32)",4.5242906
"tf.Tensor(2.4748535, shape=(), dtype=float32)",4.4688244
"tf.Tensor(2.4404166, shape=(), dtype=float32)",4.463832
"tf.Tensor(2.449916, shape=(), dtype=float32)",4.591528
"tf.Tensor(2.417306, shape=(), dtype=float32)",4.704909
"tf.Tensor(2.5266843, shape=(), dtype=float32)",4.480341
"tf.Tensor(2.4838402, shape=(), dtype=float32)",4.6895256
"tf.Tensor(2.457319, shape=(), dtype=float32)",4.8652453
"tf.Tensor(2.407825, shape=(), dtype=float32)",4.4180655
"tf.Tensor(2.4143, shape=(), dtype=float32)",4.518449
"tf.Tensor(2.4050827, shape=(), dtype=float32)",4.6282415
"tf.Tensor(2.3530962, shape=(), dtype=float32)",4.783092
"tf.Tensor(2.3592157, shape=(), dtype=float32)",4.8548937
"tf.Tensor(2.312041, shape=(), dtype=float32)",4.8226275
"tf.Tensor(2.2737727, shape=(), dtype=float32)",4.7900677
"tf.Tensor(2.24737, shape=(), dtype=float32)",4.780944
"tf.Tensor(2.278689, shape=(), dtype=float32)",4.899463
"tf.Tensor(2.1983352, shape=(), dtype=float32)",4.756527
"tf.Tensor(2.2115593, shape=(), dtype=float32)",4.919038
"tf.Tensor(2.220079, shape=(), dtype=float32)",4.7551656
