d_loss,gradient_norm
"tf.Tensor(2.9212184, shape=(), dtype=float32)",0.37755102
"tf.Tensor(2.895708, shape=(), dtype=float32)",0.20630574
"tf.Tensor(3.266827, shape=(), dtype=float32)",0.04618339
"tf.Tensor(3.414995, shape=(), dtype=float32)",0.07916359
"tf.Tensor(3.3390727, shape=(), dtype=float32)",0.06207796
"tf.Tensor(3.503263, shape=(), dtype=float32)",0.05460868
"tf.Tensor(3.3775144, shape=(), dtype=float32)",0.06782408
"tf.Tensor(3.4373846, shape=(), dtype=float32)",0.039117023
"tf.Tensor(3.5384548, shape=(), dtype=float32)",0.0551395
"tf.Tensor(3.345066, shape=(), dtype=float32)",0.008573934
"tf.Tensor(3.4986212, shape=(), dtype=float32)",0.011844224
"tf.Tensor(3.6120274, shape=(), dtype=float32)",0.021331247
"tf.Tensor(3.4605663, shape=(), dtype=float32)",0.007826071
"tf.Tensor(3.5227249, shape=(), dtype=float32)",0.010598759
"tf.Tensor(3.7397554, shape=(), dtype=float32)",0.02162028
"tf.Tensor(3.819274, shape=(), dtype=float32)",0.018781653
"tf.Tensor(3.7609484, shape=(), dtype=float32)",0.013491386
"tf.Tensor(3.5999851, shape=(), dtype=float32)",0.03288311
"tf.Tensor(3.50349, shape=(), dtype=float32)",0.03175248
"tf.Tensor(3.7797217, shape=(), dtype=float32)",0.008060065
"tf.Tensor(3.8225794, shape=(), dtype=float32)",0.015442244
"tf.Tensor(3.9883878, shape=(), dtype=float32)",0.037898354
"tf.Tensor(3.9272346, shape=(), dtype=float32)",0.0029095528
"tf.Tensor(3.556201, shape=(), dtype=float32)",0.02149349
"tf.Tensor(3.9069195, shape=(), dtype=float32)",0.008091998
"tf.Tensor(3.5006723, shape=(), dtype=float32)",0.03478585
"tf.Tensor(3.8826363, shape=(), dtype=float32)",0.04487651
"tf.Tensor(3.564547, shape=(), dtype=float32)",0.032468095
"tf.Tensor(4.3181286, shape=(), dtype=float32)",0.035601683
"tf.Tensor(4.0681744, shape=(), dtype=float32)",0.019575527
"tf.Tensor(3.5419393, shape=(), dtype=float32)",0.010410968
"tf.Tensor(3.909771, shape=(), dtype=float32)",0.057554167
"tf.Tensor(3.9870944, shape=(), dtype=float32)",0.13251531
"tf.Tensor(3.822279, shape=(), dtype=float32)",0.181648
"tf.Tensor(4.9706, shape=(), dtype=float32)",0.11522209
"tf.Tensor(7.1274943, shape=(), dtype=float32)",0.065909214
"tf.Tensor(4.429422, shape=(), dtype=float32)",0.035948604
"tf.Tensor(5.6019526, shape=(), dtype=float32)",0.011491256
"tf.Tensor(4.0953035, shape=(), dtype=float32)",0.11834971
"tf.Tensor(4.392179, shape=(), dtype=float32)",0.021047492
