d_loss,gradient_norm
"tf.Tensor(4.361715, shape=(), dtype=float32)",3.445095
"tf.Tensor(4.9625225, shape=(), dtype=float32)",2.5180323
"tf.Tensor(4.979029, shape=(), dtype=float32)",3.823864
"tf.Tensor(3.8697004, shape=(), dtype=float32)",2.631547
"tf.Tensor(3.723633, shape=(), dtype=float32)",2.8514402
"tf.Tensor(4.2913675, shape=(), dtype=float32)",2.2244885
"tf.Tensor(4.4041123, shape=(), dtype=float32)",2.7732174
"tf.Tensor(5.0893373, shape=(), dtype=float32)",3.311372
"tf.Tensor(3.8354027, shape=(), dtype=float32)",3.3785748
"tf.Tensor(5.172753, shape=(), dtype=float32)",3.6956656
"tf.Tensor(5.1106043, shape=(), dtype=float32)",2.0724058
"tf.Tensor(5.1881337, shape=(), dtype=float32)",2.7568796
"tf.Tensor(3.9043226, shape=(), dtype=float32)",3.3288326
"tf.Tensor(5.458929, shape=(), dtype=float32)",3.0733485
"tf.Tensor(5.03083, shape=(), dtype=float32)",2.381094
"tf.Tensor(4.3376174, shape=(), dtype=float32)",2.0949516
"tf.Tensor(5.70191, shape=(), dtype=float32)",2.0338898
"tf.Tensor(4.5407143, shape=(), dtype=float32)",2.0863974
"tf.Tensor(5.0965095, shape=(), dtype=float32)",1.9451816
"tf.Tensor(4.9082403, shape=(), dtype=float32)",1.8152609
"tf.Tensor(4.1667695, shape=(), dtype=float32)",1.3211583
"tf.Tensor(4.8759065, shape=(), dtype=float32)",2.252064
"tf.Tensor(5.1631184, shape=(), dtype=float32)",1.691566
"tf.Tensor(4.504813, shape=(), dtype=float32)",2.0731874
"tf.Tensor(5.6005325, shape=(), dtype=float32)",1.3870924
"tf.Tensor(4.6939497, shape=(), dtype=float32)",1.6675408
"tf.Tensor(5.6702504, shape=(), dtype=float32)",1.4941068
"tf.Tensor(4.465168, shape=(), dtype=float32)",2.178475
"tf.Tensor(5.70588, shape=(), dtype=float32)",1.1697682
"tf.Tensor(4.6507444, shape=(), dtype=float32)",1.2580165
"tf.Tensor(4.4440637, shape=(), dtype=float32)",2.226945
"tf.Tensor(5.9124503, shape=(), dtype=float32)",1.8534211
"tf.Tensor(4.3982697, shape=(), dtype=float32)",1.3879533
"tf.Tensor(5.511277, shape=(), dtype=float32)",1.7821932
"tf.Tensor(4.618325, shape=(), dtype=float32)",1.2302167
"tf.Tensor(5.3525987, shape=(), dtype=float32)",1.752752
"tf.Tensor(5.474189, shape=(), dtype=float32)",1.8046969
"tf.Tensor(6.343985, shape=(), dtype=float32)",1.5949875
"tf.Tensor(7.545795, shape=(), dtype=float32)",1.2522621
"tf.Tensor(5.7264333, shape=(), dtype=float32)",1.2482147
"tf.Tensor(6.049715, shape=(), dtype=float32)",2.1419337
"tf.Tensor(4.624627, shape=(), dtype=float32)",1.8598232
"tf.Tensor(4.472961, shape=(), dtype=float32)",1.1521989
"tf.Tensor(4.896326, shape=(), dtype=float32)",2.0536945
"tf.Tensor(4.4387646, shape=(), dtype=float32)",1.6358936
"tf.Tensor(7.128214, shape=(), dtype=float32)",1.492546
"tf.Tensor(4.9320784, shape=(), dtype=float32)",2.0428758
"tf.Tensor(4.8562493, shape=(), dtype=float32)",1.3680689
"tf.Tensor(6.246212, shape=(), dtype=float32)",0.93310213
"tf.Tensor(5.249178, shape=(), dtype=float32)",2.1484866
"tf.Tensor(5.098763, shape=(), dtype=float32)",1.7970191
"tf.Tensor(4.896393, shape=(), dtype=float32)",1.8724864
"tf.Tensor(5.1731606, shape=(), dtype=float32)",1.8647406
"tf.Tensor(6.096436, shape=(), dtype=float32)",1.9470314
"tf.Tensor(6.2182393, shape=(), dtype=float32)",2.2348723
"tf.Tensor(4.200826, shape=(), dtype=float32)",1.6905935
"tf.Tensor(4.5908203, shape=(), dtype=float32)",2.0838492
"tf.Tensor(6.4446507, shape=(), dtype=float32)",3.3265822
"tf.Tensor(4.8893657, shape=(), dtype=float32)",3.2735915
"tf.Tensor(4.41259, shape=(), dtype=float32)",3.8472028
"tf.Tensor(8.489965, shape=(), dtype=float32)",2.0782897
"tf.Tensor(5.325316, shape=(), dtype=float32)",2.0598323
"tf.Tensor(5.0054817, shape=(), dtype=float32)",2.3962522
"tf.Tensor(4.6257734, shape=(), dtype=float32)",1.6382964
"tf.Tensor(5.501546, shape=(), dtype=float32)",1.7995656
"tf.Tensor(5.475131, shape=(), dtype=float32)",1.3306916
"tf.Tensor(4.899277, shape=(), dtype=float32)",1.8311294
"tf.Tensor(5.0544906, shape=(), dtype=float32)",0.9348499
"tf.Tensor(5.6108923, shape=(), dtype=float32)",1.9849359
"tf.Tensor(5.6943827, shape=(), dtype=float32)",1.781703
"tf.Tensor(6.2238045, shape=(), dtype=float32)",1.4345033
"tf.Tensor(5.4219494, shape=(), dtype=float32)",1.8331683
"tf.Tensor(4.7226815, shape=(), dtype=float32)",2.758375
"tf.Tensor(4.5267563, shape=(), dtype=float32)",1.267288
"tf.Tensor(6.064189, shape=(), dtype=float32)",2.0689404
"tf.Tensor(6.0690618, shape=(), dtype=float32)",1.6488192
"tf.Tensor(4.4618387, shape=(), dtype=float32)",1.9948144
"tf.Tensor(5.0143423, shape=(), dtype=float32)",1.6306709
"tf.Tensor(4.562947, shape=(), dtype=float32)",1.9854561
"tf.Tensor(6.4240513, shape=(), dtype=float32)",1.1542237
"tf.Tensor(4.9727755, shape=(), dtype=float32)",1.1378453
"tf.Tensor(5.5496535, shape=(), dtype=float32)",1.0257112
"tf.Tensor(4.754133, shape=(), dtype=float32)",1.949682
"tf.Tensor(4.580391, shape=(), dtype=float32)",1.1215268
"tf.Tensor(4.617455, shape=(), dtype=float32)",1.514051
"tf.Tensor(5.5291524, shape=(), dtype=float32)",2.0071645
"tf.Tensor(6.5849366, shape=(), dtype=float32)",1.8721842
"tf.Tensor(4.4199553, shape=(), dtype=float32)",1.4134061
"tf.Tensor(5.029896, shape=(), dtype=float32)",1.2139806
"tf.Tensor(5.121134, shape=(), dtype=float32)",0.83878607
"tf.Tensor(6.3825583, shape=(), dtype=float32)",1.3902498
"tf.Tensor(4.9764447, shape=(), dtype=float32)",1.2937164
"tf.Tensor(4.519083, shape=(), dtype=float32)",0.96863043
"tf.Tensor(6.1991796, shape=(), dtype=float32)",0.6813352
"tf.Tensor(8.229677, shape=(), dtype=float32)",1.1939706
"tf.Tensor(5.00453, shape=(), dtype=float32)",1.0650427
"tf.Tensor(4.868782, shape=(), dtype=float32)",1.3820283
"tf.Tensor(5.0212884, shape=(), dtype=float32)",1.639968
"tf.Tensor(4.974967, shape=(), dtype=float32)",1.0938092
"tf.Tensor(6.173298, shape=(), dtype=float32)",1.496156
"tf.Tensor(6.060296, shape=(), dtype=float32)",1.2444284
"tf.Tensor(4.412916, shape=(), dtype=float32)",1.5989348
"tf.Tensor(6.36567, shape=(), dtype=float32)",0.99466413
"tf.Tensor(5.027567, shape=(), dtype=float32)",1.1689565
"tf.Tensor(5.4260674, shape=(), dtype=float32)",0.67811143
"tf.Tensor(4.489403, shape=(), dtype=float32)",1.1929594
"tf.Tensor(4.686049, shape=(), dtype=float32)",1.41304
"tf.Tensor(5.139842, shape=(), dtype=float32)",0.58578324
"tf.Tensor(4.9227915, shape=(), dtype=float32)",0.6178771
"tf.Tensor(6.736787, shape=(), dtype=float32)",0.8862246
"tf.Tensor(5.4334483, shape=(), dtype=float32)",1.5853703
"tf.Tensor(5.451639, shape=(), dtype=float32)",1.3033102
"tf.Tensor(5.2988873, shape=(), dtype=float32)",1.0680884
"tf.Tensor(5.736762, shape=(), dtype=float32)",1.6565232
"tf.Tensor(5.5312176, shape=(), dtype=float32)",1.4369723
"tf.Tensor(4.63773, shape=(), dtype=float32)",1.8498607
"tf.Tensor(5.0342197, shape=(), dtype=float32)",1.1448926
"tf.Tensor(5.702319, shape=(), dtype=float32)",1.8891711
"tf.Tensor(4.5563374, shape=(), dtype=float32)",0.6478175
"tf.Tensor(5.0614843, shape=(), dtype=float32)",1.0321512
"tf.Tensor(5.349265, shape=(), dtype=float32)",1.1380397
"tf.Tensor(5.5916276, shape=(), dtype=float32)",1.1017267
"tf.Tensor(6.630024, shape=(), dtype=float32)",1.0544176
"tf.Tensor(4.6664314, shape=(), dtype=float32)",0.9773268
"tf.Tensor(5.7291284, shape=(), dtype=float32)",1.0295107
"tf.Tensor(5.1771674, shape=(), dtype=float32)",1.8102149
"tf.Tensor(5.01099, shape=(), dtype=float32)",1.9474257
"tf.Tensor(5.219824, shape=(), dtype=float32)",1.4794174
"tf.Tensor(4.8302865, shape=(), dtype=float32)",1.7160344
"tf.Tensor(6.7843843, shape=(), dtype=float32)",1.2010192
"tf.Tensor(6.083413, shape=(), dtype=float32)",0.8754602
"tf.Tensor(5.4996347, shape=(), dtype=float32)",1.0011832
"tf.Tensor(5.5139985, shape=(), dtype=float32)",1.0421216
"tf.Tensor(5.3906446, shape=(), dtype=float32)",1.7181208
"tf.Tensor(5.5146, shape=(), dtype=float32)",0.7646337
"tf.Tensor(5.446523, shape=(), dtype=float32)",0.5055635
"tf.Tensor(6.122304, shape=(), dtype=float32)",0.8969797
"tf.Tensor(4.9736433, shape=(), dtype=float32)",1.611632
"tf.Tensor(5.1417427, shape=(), dtype=float32)",2.0227804
"tf.Tensor(4.9901886, shape=(), dtype=float32)",1.5945833
"tf.Tensor(4.8400106, shape=(), dtype=float32)",1.4895293
"tf.Tensor(5.128015, shape=(), dtype=float32)",1.9629303
"tf.Tensor(5.0331707, shape=(), dtype=float32)",1.7734007
"tf.Tensor(5.228922, shape=(), dtype=float32)",2.1578984
"tf.Tensor(5.432586, shape=(), dtype=float32)",3.2594738
"tf.Tensor(5.5880165, shape=(), dtype=float32)",2.3764322
"tf.Tensor(5.4131265, shape=(), dtype=float32)",1.8470889
"tf.Tensor(5.662265, shape=(), dtype=float32)",2.1343634
"tf.Tensor(4.1362605, shape=(), dtype=float32)",1.8685946
"tf.Tensor(5.174053, shape=(), dtype=float32)",1.8341868
"tf.Tensor(5.49814, shape=(), dtype=float32)",1.2816262
"tf.Tensor(6.744258, shape=(), dtype=float32)",3.2037542
"tf.Tensor(7.3487344, shape=(), dtype=float32)",2.6999044
"tf.Tensor(5.2381144, shape=(), dtype=float32)",1.7651173
"tf.Tensor(8.324446, shape=(), dtype=float32)",1.2136093
"tf.Tensor(6.9689217, shape=(), dtype=float32)",2.310633
"tf.Tensor(5.5049057, shape=(), dtype=float32)",1.7187445
"tf.Tensor(4.74425, shape=(), dtype=float32)",2.2830415
"tf.Tensor(3.9897895, shape=(), dtype=float32)",2.3017268
"tf.Tensor(4.4318223, shape=(), dtype=float32)",1.8951635
"tf.Tensor(5.1450176, shape=(), dtype=float32)",1.5651461
"tf.Tensor(8.252847, shape=(), dtype=float32)",1.9586291
"tf.Tensor(7.212788, shape=(), dtype=float32)",2.76185
"tf.Tensor(7.169655, shape=(), dtype=float32)",1.7171785
"tf.Tensor(7.01604, shape=(), dtype=float32)",1.8404946
"tf.Tensor(7.427682, shape=(), dtype=float32)",1.9656463
"tf.Tensor(5.289858, shape=(), dtype=float32)",2.45403
"tf.Tensor(5.116566, shape=(), dtype=float32)",0.9992611
"tf.Tensor(4.557851, shape=(), dtype=float32)",1.9018985
"tf.Tensor(6.2729774, shape=(), dtype=float32)",2.5237784
"tf.Tensor(6.305398, shape=(), dtype=float32)",2.4502525
"tf.Tensor(4.126204, shape=(), dtype=float32)",1.2282039
"tf.Tensor(6.514903, shape=(), dtype=float32)",1.9952847
"tf.Tensor(3.3927243, shape=(), dtype=float32)",1.9635328
"tf.Tensor(6.6996765, shape=(), dtype=float32)",2.1710677
"tf.Tensor(3.4638467, shape=(), dtype=float32)",1.5719347
"tf.Tensor(4.374659, shape=(), dtype=float32)",0.95539045
"tf.Tensor(8.549012, shape=(), dtype=float32)",1.4639992
"tf.Tensor(4.9500103, shape=(), dtype=float32)",0.87289196
"tf.Tensor(5.7588224, shape=(), dtype=float32)",1.8557687
"tf.Tensor(4.969633, shape=(), dtype=float32)",1.378127
"tf.Tensor(3.943531, shape=(), dtype=float32)",1.4010807
"tf.Tensor(5.3045187, shape=(), dtype=float32)",0.9790517
"tf.Tensor(4.2773356, shape=(), dtype=float32)",1.4876657
"tf.Tensor(4.918587, shape=(), dtype=float32)",2.497624
"tf.Tensor(4.028037, shape=(), dtype=float32)",1.8261045
"tf.Tensor(5.5367856, shape=(), dtype=float32)",1.4476817
"tf.Tensor(5.248415, shape=(), dtype=float32)",1.8103926
"tf.Tensor(5.007487, shape=(), dtype=float32)",1.9548212
"tf.Tensor(7.8754587, shape=(), dtype=float32)",3.8961544
"tf.Tensor(5.261217, shape=(), dtype=float32)",1.1993188
"tf.Tensor(4.690668, shape=(), dtype=float32)",2.5086925
"tf.Tensor(4.4819617, shape=(), dtype=float32)",1.7858212
"tf.Tensor(5.046616, shape=(), dtype=float32)",2.488614
"tf.Tensor(6.5783906, shape=(), dtype=float32)",3.682193
"tf.Tensor(4.9729624, shape=(), dtype=float32)",3.1659045
"tf.Tensor(3.7435122, shape=(), dtype=float32)",1.5765499
"tf.Tensor(4.7227206, shape=(), dtype=float32)",1.9801452
"tf.Tensor(4.639113, shape=(), dtype=float32)",2.0094886
"tf.Tensor(5.780281, shape=(), dtype=float32)",2.9314244
"tf.Tensor(5.704925, shape=(), dtype=float32)",2.4380977
"tf.Tensor(5.4763308, shape=(), dtype=float32)",4.7526546
"tf.Tensor(5.2864933, shape=(), dtype=float32)",2.5464659
"tf.Tensor(4.722002, shape=(), dtype=float32)",3.2797048
"tf.Tensor(4.8982687, shape=(), dtype=float32)",3.6924171
"tf.Tensor(4.3945827, shape=(), dtype=float32)",3.4653416
"tf.Tensor(5.5961475, shape=(), dtype=float32)",3.2005827
"tf.Tensor(5.5562277, shape=(), dtype=float32)",2.9341722
"tf.Tensor(4.4588895, shape=(), dtype=float32)",2.8651822
"tf.Tensor(5.570389, shape=(), dtype=float32)",2.6820204
"tf.Tensor(4.0255446, shape=(), dtype=float32)",1.6375209
"tf.Tensor(5.520808, shape=(), dtype=float32)",2.2220728
"tf.Tensor(4.514507, shape=(), dtype=float32)",3.7330358
"tf.Tensor(5.1030016, shape=(), dtype=float32)",3.4131923
"tf.Tensor(5.750701, shape=(), dtype=float32)",3.855994
"tf.Tensor(5.8167925, shape=(), dtype=float32)",2.4518888
"tf.Tensor(3.813808, shape=(), dtype=float32)",3.3626716
"tf.Tensor(5.2635174, shape=(), dtype=float32)",3.6013176
"tf.Tensor(4.4333267, shape=(), dtype=float32)",3.964546
"tf.Tensor(6.0799494, shape=(), dtype=float32)",1.9695423
"tf.Tensor(5.555796, shape=(), dtype=float32)",3.6385639
"tf.Tensor(4.7309856, shape=(), dtype=float32)",2.885282
"tf.Tensor(5.480936, shape=(), dtype=float32)",3.9605649
"tf.Tensor(4.021689, shape=(), dtype=float32)",3.2598734
"tf.Tensor(6.2122364, shape=(), dtype=float32)",3.4661229
"tf.Tensor(6.7252502, shape=(), dtype=float32)",4.0527015
"tf.Tensor(6.113063, shape=(), dtype=float32)",4.142817
"tf.Tensor(5.208582, shape=(), dtype=float32)",2.545756
"tf.Tensor(5.1664906, shape=(), dtype=float32)",3.0653377
"tf.Tensor(4.6423664, shape=(), dtype=float32)",3.393797
"tf.Tensor(5.5698876, shape=(), dtype=float32)",2.5771048
"tf.Tensor(5.71421, shape=(), dtype=float32)",2.8415353
"tf.Tensor(4.888837, shape=(), dtype=float32)",3.1682167
"tf.Tensor(4.7254696, shape=(), dtype=float32)",2.776584
"tf.Tensor(5.4952564, shape=(), dtype=float32)",1.0114789
"tf.Tensor(4.725687, shape=(), dtype=float32)",2.8608747
"tf.Tensor(5.257245, shape=(), dtype=float32)",1.925779
"tf.Tensor(6.480363, shape=(), dtype=float32)",3.8846478
"tf.Tensor(5.083733, shape=(), dtype=float32)",2.2364988
"tf.Tensor(4.8353457, shape=(), dtype=float32)",4.229867
"tf.Tensor(5.0917764, shape=(), dtype=float32)",3.153322
"tf.Tensor(7.320231, shape=(), dtype=float32)",3.7330074
"tf.Tensor(5.1627026, shape=(), dtype=float32)",3.2746837
"tf.Tensor(5.2561946, shape=(), dtype=float32)",4.207528
"tf.Tensor(6.036723, shape=(), dtype=float32)",2.5096855
"tf.Tensor(6.1648555, shape=(), dtype=float32)",3.3084135
"tf.Tensor(5.004445, shape=(), dtype=float32)",3.6008363
"tf.Tensor(5.010324, shape=(), dtype=float32)",3.9099069
"tf.Tensor(5.97317, shape=(), dtype=float32)",3.0489511
"tf.Tensor(6.152094, shape=(), dtype=float32)",3.443475
"tf.Tensor(5.5703664, shape=(), dtype=float32)",3.751702
"tf.Tensor(5.582178, shape=(), dtype=float32)",3.2862384
"tf.Tensor(4.399688, shape=(), dtype=float32)",3.5558987
"tf.Tensor(6.437729, shape=(), dtype=float32)",4.782502
"tf.Tensor(6.854189, shape=(), dtype=float32)",3.078048
"tf.Tensor(5.9473257, shape=(), dtype=float32)",2.661174
"tf.Tensor(4.289371, shape=(), dtype=float32)",3.8661273
"tf.Tensor(5.838435, shape=(), dtype=float32)",3.248623
"tf.Tensor(5.9566383, shape=(), dtype=float32)",3.85271
"tf.Tensor(6.7377653, shape=(), dtype=float32)",3.5264666
"tf.Tensor(6.1775665, shape=(), dtype=float32)",3.8020027
"tf.Tensor(5.32973, shape=(), dtype=float32)",2.1455672
"tf.Tensor(7.9250345, shape=(), dtype=float32)",3.3254192
"tf.Tensor(5.2492523, shape=(), dtype=float32)",3.2448254
"tf.Tensor(5.5190363, shape=(), dtype=float32)",3.7387822
"tf.Tensor(6.888041, shape=(), dtype=float32)",3.8537364
"tf.Tensor(5.0506744, shape=(), dtype=float32)",3.6560478
"tf.Tensor(4.894528, shape=(), dtype=float32)",4.203381
"tf.Tensor(7.1152225, shape=(), dtype=float32)",3.3540626
"tf.Tensor(6.0444555, shape=(), dtype=float32)",3.5484285
"tf.Tensor(6.014209, shape=(), dtype=float32)",2.26952
"tf.Tensor(6.656709, shape=(), dtype=float32)",2.6972399
"tf.Tensor(6.1313124, shape=(), dtype=float32)",3.0535145
"tf.Tensor(5.6964474, shape=(), dtype=float32)",3.8236096
"tf.Tensor(8.409487, shape=(), dtype=float32)",2.6266956
"tf.Tensor(6.250202, shape=(), dtype=float32)",5.5933533
"tf.Tensor(5.6809855, shape=(), dtype=float32)",2.6705682
"tf.Tensor(6.457306, shape=(), dtype=float32)",4.052471
"tf.Tensor(5.755689, shape=(), dtype=float32)",4.0317426
"tf.Tensor(6.257604, shape=(), dtype=float32)",3.1878471
"tf.Tensor(6.4864144, shape=(), dtype=float32)",3.8206801
"tf.Tensor(6.530945, shape=(), dtype=float32)",3.4851637
"tf.Tensor(6.6067114, shape=(), dtype=float32)",2.6415265
