d_loss,gradient_norm
"tf.Tensor(1.628955, shape=(), dtype=float32)",0.66786176
"tf.Tensor(1.6985425, shape=(), dtype=float32)",0.64814115
"tf.Tensor(1.6802974, shape=(), dtype=float32)",0.66553515
"tf.Tensor(1.7162141, shape=(), dtype=float32)",0.6661292
"tf.Tensor(1.7230976, shape=(), dtype=float32)",0.6346256
"tf.Tensor(1.7338977, shape=(), dtype=float32)",0.7285391
"tf.Tensor(1.6732055, shape=(), dtype=float32)",0.68908393
"tf.Tensor(1.7421228, shape=(), dtype=float32)",0.7785421
"tf.Tensor(1.7370138, shape=(), dtype=float32)",0.7615718
"tf.Tensor(1.7198374, shape=(), dtype=float32)",0.74748796
"tf.Tensor(1.7328824, shape=(), dtype=float32)",0.79748875
"tf.Tensor(1.78109, shape=(), dtype=float32)",0.797222
"tf.Tensor(1.8019366, shape=(), dtype=float32)",0.82025504
"tf.Tensor(1.8209953, shape=(), dtype=float32)",0.8407607
"tf.Tensor(1.809094, shape=(), dtype=float32)",0.87109417
"tf.Tensor(1.8310704, shape=(), dtype=float32)",0.8938527
"tf.Tensor(1.8914868, shape=(), dtype=float32)",0.8764303
"tf.Tensor(1.8980405, shape=(), dtype=float32)",0.8736457
"tf.Tensor(1.9200242, shape=(), dtype=float32)",0.9399599
"tf.Tensor(1.9099895, shape=(), dtype=float32)",0.8802162
"tf.Tensor(1.9245023, shape=(), dtype=float32)",0.91499317
"tf.Tensor(1.9625175, shape=(), dtype=float32)",0.92963076
"tf.Tensor(2.0034015, shape=(), dtype=float32)",1.01223
"tf.Tensor(2.0310402, shape=(), dtype=float32)",1.0553875
"tf.Tensor(2.0154839, shape=(), dtype=float32)",1.0688565
"tf.Tensor(2.034272, shape=(), dtype=float32)",0.9963001
"tf.Tensor(2.115431, shape=(), dtype=float32)",1.1340483
"tf.Tensor(2.0811205, shape=(), dtype=float32)",1.07763
"tf.Tensor(2.1199706, shape=(), dtype=float32)",1.0938537
"tf.Tensor(2.1638749, shape=(), dtype=float32)",1.1788297
"tf.Tensor(2.1863303, shape=(), dtype=float32)",1.1790571
"tf.Tensor(2.217875, shape=(), dtype=float32)",1.1711444
"tf.Tensor(2.2229202, shape=(), dtype=float32)",1.2038596
"tf.Tensor(2.239203, shape=(), dtype=float32)",1.2513206
"tf.Tensor(2.2236462, shape=(), dtype=float32)",1.2015538
"tf.Tensor(2.2989597, shape=(), dtype=float32)",1.246861
"tf.Tensor(2.30359, shape=(), dtype=float32)",1.2771832
"tf.Tensor(2.3672554, shape=(), dtype=float32)",1.25341
"tf.Tensor(2.312611, shape=(), dtype=float32)",1.2977026
"tf.Tensor(2.364295, shape=(), dtype=float32)",1.2984236
"tf.Tensor(2.387473, shape=(), dtype=float32)",1.2937596
"tf.Tensor(2.4328513, shape=(), dtype=float32)",1.3745837
"tf.Tensor(2.4311972, shape=(), dtype=float32)",1.3768123
"tf.Tensor(2.4274287, shape=(), dtype=float32)",1.3566837
"tf.Tensor(2.4316297, shape=(), dtype=float32)",1.3731164
"tf.Tensor(2.4043946, shape=(), dtype=float32)",1.2979381
"tf.Tensor(2.4684367, shape=(), dtype=float32)",1.3536456
"tf.Tensor(2.42873, shape=(), dtype=float32)",1.3416203
"tf.Tensor(2.4122922, shape=(), dtype=float32)",1.3392365
"tf.Tensor(2.454001, shape=(), dtype=float32)",1.4047292
"tf.Tensor(2.4452338, shape=(), dtype=float32)",1.4035618
"tf.Tensor(2.3909135, shape=(), dtype=float32)",1.3630399
"tf.Tensor(2.415034, shape=(), dtype=float32)",1.3244293
"tf.Tensor(2.4332786, shape=(), dtype=float32)",1.38143
"tf.Tensor(2.3973553, shape=(), dtype=float32)",1.4211282
"tf.Tensor(2.4472814, shape=(), dtype=float32)",1.455153
"tf.Tensor(2.391149, shape=(), dtype=float32)",1.4156632
"tf.Tensor(2.4110508, shape=(), dtype=float32)",1.4477861
"tf.Tensor(2.3756924, shape=(), dtype=float32)",1.4753822
"tf.Tensor(2.4090893, shape=(), dtype=float32)",1.4702071
"tf.Tensor(2.4319634, shape=(), dtype=float32)",1.4639062
"tf.Tensor(2.4226098, shape=(), dtype=float32)",1.4838123
"tf.Tensor(2.4351835, shape=(), dtype=float32)",1.5086031
"tf.Tensor(2.4543815, shape=(), dtype=float32)",1.4577378
"tf.Tensor(2.496223, shape=(), dtype=float32)",1.5029515
"tf.Tensor(2.4842024, shape=(), dtype=float32)",1.45959
"tf.Tensor(2.500732, shape=(), dtype=float32)",1.5473815
"tf.Tensor(2.5138285, shape=(), dtype=float32)",1.4773834
"tf.Tensor(2.5231159, shape=(), dtype=float32)",1.4867245
"tf.Tensor(2.5734658, shape=(), dtype=float32)",1.4842943
"tf.Tensor(2.5351024, shape=(), dtype=float32)",1.4527014
"tf.Tensor(2.562642, shape=(), dtype=float32)",1.4106419
"tf.Tensor(2.5314193, shape=(), dtype=float32)",1.4002174
"tf.Tensor(2.5696738, shape=(), dtype=float32)",1.4626962
"tf.Tensor(2.5645435, shape=(), dtype=float32)",1.4773536
"tf.Tensor(2.542857, shape=(), dtype=float32)",1.4294313
"tf.Tensor(2.533482, shape=(), dtype=float32)",1.471184
"tf.Tensor(2.6054454, shape=(), dtype=float32)",1.471258
"tf.Tensor(2.5906703, shape=(), dtype=float32)",1.4249327
"tf.Tensor(2.5330815, shape=(), dtype=float32)",1.4115186
"tf.Tensor(2.5227022, shape=(), dtype=float32)",1.3778431
"tf.Tensor(2.5463126, shape=(), dtype=float32)",1.4003232
"tf.Tensor(2.5356874, shape=(), dtype=float32)",1.3686476
"tf.Tensor(2.5311687, shape=(), dtype=float32)",1.4084035
"tf.Tensor(2.4879231, shape=(), dtype=float32)",1.3825685
"tf.Tensor(2.489704, shape=(), dtype=float32)",1.4154581
"tf.Tensor(2.465883, shape=(), dtype=float32)",1.3678498
"tf.Tensor(2.4204311, shape=(), dtype=float32)",1.415699
"tf.Tensor(2.4219708, shape=(), dtype=float32)",1.3577336
"tf.Tensor(2.3664858, shape=(), dtype=float32)",1.5285252
"tf.Tensor(2.3829815, shape=(), dtype=float32)",1.3822818
"tf.Tensor(2.344818, shape=(), dtype=float32)",1.2359583
"tf.Tensor(2.351184, shape=(), dtype=float32)",1.4368378
"tf.Tensor(2.3127997, shape=(), dtype=float32)",1.3438557
"tf.Tensor(2.312208, shape=(), dtype=float32)",1.3970006
"tf.Tensor(2.2575731, shape=(), dtype=float32)",1.3790603
"tf.Tensor(2.2940567, shape=(), dtype=float32)",1.3683261
"tf.Tensor(2.320447, shape=(), dtype=float32)",1.2842152
"tf.Tensor(2.280633, shape=(), dtype=float32)",1.4311045
"tf.Tensor(2.2830226, shape=(), dtype=float32)",1.3478633
"tf.Tensor(2.2611809, shape=(), dtype=float32)",1.305152
"tf.Tensor(2.312189, shape=(), dtype=float32)",1.3324875
"tf.Tensor(2.2320004, shape=(), dtype=float32)",1.2812254
"tf.Tensor(2.1853805, shape=(), dtype=float32)",1.3791566
"tf.Tensor(2.2854998, shape=(), dtype=float32)",1.3263311
"tf.Tensor(2.2135954, shape=(), dtype=float32)",1.4733797
"tf.Tensor(2.2333913, shape=(), dtype=float32)",1.3885962
"tf.Tensor(2.2384634, shape=(), dtype=float32)",1.3849813
"tf.Tensor(2.2333632, shape=(), dtype=float32)",1.4902925
"tf.Tensor(2.2086222, shape=(), dtype=float32)",1.4639493
"tf.Tensor(2.2261477, shape=(), dtype=float32)",1.5874776
"tf.Tensor(2.2434373, shape=(), dtype=float32)",1.5568401
"tf.Tensor(2.2477016, shape=(), dtype=float32)",1.5449563
"tf.Tensor(2.2746885, shape=(), dtype=float32)",1.5735738
"tf.Tensor(2.2595618, shape=(), dtype=float32)",1.6271789
"tf.Tensor(2.28513, shape=(), dtype=float32)",1.4976016
"tf.Tensor(2.2538123, shape=(), dtype=float32)",1.709683
"tf.Tensor(2.2694736, shape=(), dtype=float32)",1.6877781
"tf.Tensor(2.2652798, shape=(), dtype=float32)",1.714332
"tf.Tensor(2.3038108, shape=(), dtype=float32)",1.7043973
"tf.Tensor(2.2827983, shape=(), dtype=float32)",1.7476089
"tf.Tensor(2.3544517, shape=(), dtype=float32)",1.7752163
"tf.Tensor(2.285866, shape=(), dtype=float32)",1.7359704
"tf.Tensor(2.2997842, shape=(), dtype=float32)",1.7667257
"tf.Tensor(2.3534722, shape=(), dtype=float32)",1.8247652
"tf.Tensor(2.327438, shape=(), dtype=float32)",1.7775679
"tf.Tensor(2.3784904, shape=(), dtype=float32)",1.8331184
"tf.Tensor(2.366498, shape=(), dtype=float32)",1.801487
"tf.Tensor(2.3417563, shape=(), dtype=float32)",1.8097324
"tf.Tensor(2.3741803, shape=(), dtype=float32)",1.6969444
"tf.Tensor(2.3724437, shape=(), dtype=float32)",1.7663215
"tf.Tensor(2.4166622, shape=(), dtype=float32)",1.747534
"tf.Tensor(2.4245152, shape=(), dtype=float32)",1.7863716
"tf.Tensor(2.3745227, shape=(), dtype=float32)",1.8012015
"tf.Tensor(2.408977, shape=(), dtype=float32)",1.7825528
"tf.Tensor(2.3690948, shape=(), dtype=float32)",1.8073868
"tf.Tensor(2.4085345, shape=(), dtype=float32)",1.8700835
"tf.Tensor(2.4160843, shape=(), dtype=float32)",1.7756019
"tf.Tensor(2.4619024, shape=(), dtype=float32)",1.7686676
"tf.Tensor(2.4054327, shape=(), dtype=float32)",1.7749496
"tf.Tensor(2.423962, shape=(), dtype=float32)",1.650417
"tf.Tensor(2.4524698, shape=(), dtype=float32)",1.8085301
"tf.Tensor(2.4443798, shape=(), dtype=float32)",1.7974888
"tf.Tensor(2.4251878, shape=(), dtype=float32)",1.7900282
"tf.Tensor(2.4403257, shape=(), dtype=float32)",1.7976406
"tf.Tensor(2.4336796, shape=(), dtype=float32)",1.8440205
"tf.Tensor(2.4256191, shape=(), dtype=float32)",1.8424603
"tf.Tensor(2.4190335, shape=(), dtype=float32)",1.7731534
"tf.Tensor(2.4298635, shape=(), dtype=float32)",1.8148178
"tf.Tensor(2.4291503, shape=(), dtype=float32)",1.9016272
"tf.Tensor(2.4376035, shape=(), dtype=float32)",1.8453214
"tf.Tensor(2.4596772, shape=(), dtype=float32)",1.7901733
"tf.Tensor(2.4313595, shape=(), dtype=float32)",1.8946261
"tf.Tensor(2.4830475, shape=(), dtype=float32)",1.6935776
"tf.Tensor(2.4189472, shape=(), dtype=float32)",1.8729328
"tf.Tensor(2.4483266, shape=(), dtype=float32)",1.9895409
"tf.Tensor(2.426024, shape=(), dtype=float32)",1.9319402
"tf.Tensor(2.413156, shape=(), dtype=float32)",1.9131534
"tf.Tensor(2.4359617, shape=(), dtype=float32)",1.8903952
"tf.Tensor(2.4509277, shape=(), dtype=float32)",1.7830583
"tf.Tensor(2.378141, shape=(), dtype=float32)",1.9070668
"tf.Tensor(2.4211843, shape=(), dtype=float32)",1.8574731
"tf.Tensor(2.395648, shape=(), dtype=float32)",1.9267443
"tf.Tensor(2.3705535, shape=(), dtype=float32)",1.8806285
"tf.Tensor(2.423184, shape=(), dtype=float32)",1.8578354
