d_loss,gradient_norm
"tf.Tensor(5.845269, shape=(), dtype=float32)",0.01229921
"tf.Tensor(4.7335477, shape=(), dtype=float32)",0.018692257
"tf.Tensor(4.910684, shape=(), dtype=float32)",0.020727694
"tf.Tensor(4.8264375, shape=(), dtype=float32)",0.045719787
"tf.Tensor(4.964989, shape=(), dtype=float32)",0.07081382
"tf.Tensor(4.629544, shape=(), dtype=float32)",0.10155576
"tf.Tensor(4.591325, shape=(), dtype=float32)",0.10673262
"tf.Tensor(4.6815634, shape=(), dtype=float32)",0.1247367
"tf.Tensor(4.342129, shape=(), dtype=float32)",0.20976216
"tf.Tensor(4.3016458, shape=(), dtype=float32)",0.30027604
"tf.Tensor(4.2796493, shape=(), dtype=float32)",0.16453299
"tf.Tensor(4.3977137, shape=(), dtype=float32)",0.19812648
"tf.Tensor(3.9897008, shape=(), dtype=float32)",0.19576529
"tf.Tensor(4.368729, shape=(), dtype=float32)",0.21058117
"tf.Tensor(4.4357285, shape=(), dtype=float32)",0.19305357
"tf.Tensor(4.2218614, shape=(), dtype=float32)",0.26352382
"tf.Tensor(4.3176775, shape=(), dtype=float32)",0.14439158
"tf.Tensor(4.2447762, shape=(), dtype=float32)",0.39478236
"tf.Tensor(4.610519, shape=(), dtype=float32)",0.049846288
"tf.Tensor(3.7069573, shape=(), dtype=float32)",0.43126106
"tf.Tensor(4.36624, shape=(), dtype=float32)",0.0435564
"tf.Tensor(3.9164124, shape=(), dtype=float32)",0.28230256
"tf.Tensor(4.4669833, shape=(), dtype=float32)",0.101090066
"tf.Tensor(4.21068, shape=(), dtype=float32)",0.30502075
"tf.Tensor(4.30331, shape=(), dtype=float32)",0.15131809
"tf.Tensor(3.7714422, shape=(), dtype=float32)",0.7151227
"tf.Tensor(4.7846055, shape=(), dtype=float32)",0.027087366
"tf.Tensor(4.1742244, shape=(), dtype=float32)",0.29408756
"tf.Tensor(4.43413, shape=(), dtype=float32)",0.2541628
"tf.Tensor(4.3799386, shape=(), dtype=float32)",0.3574225
"tf.Tensor(4.548746, shape=(), dtype=float32)",0.3022083
"tf.Tensor(3.8212404, shape=(), dtype=float32)",0.46633458
"tf.Tensor(4.598824, shape=(), dtype=float32)",0.13939776
"tf.Tensor(3.9173083, shape=(), dtype=float32)",0.83328
"tf.Tensor(4.845765, shape=(), dtype=float32)",0.022445038
"tf.Tensor(4.725138, shape=(), dtype=float32)",0.14294028
"tf.Tensor(4.122877, shape=(), dtype=float32)",0.7754313
"tf.Tensor(4.5458417, shape=(), dtype=float32)",0.12702607
"tf.Tensor(4.4142213, shape=(), dtype=float32)",0.4698157
"tf.Tensor(4.48263, shape=(), dtype=float32)",0.29546136
"tf.Tensor(3.8893754, shape=(), dtype=float32)",1.1459974
"tf.Tensor(4.4039, shape=(), dtype=float32)",0.033167526
"tf.Tensor(4.6676593, shape=(), dtype=float32)",0.24144596
"tf.Tensor(4.2555456, shape=(), dtype=float32)",0.9367544
"tf.Tensor(4.736983, shape=(), dtype=float32)",0.13954864
"tf.Tensor(4.3520885, shape=(), dtype=float32)",0.8306698
"tf.Tensor(4.5310507, shape=(), dtype=float32)",0.23085546
"tf.Tensor(4.238792, shape=(), dtype=float32)",1.1890857
"tf.Tensor(4.7376723, shape=(), dtype=float32)",0.1198522
"tf.Tensor(4.2419705, shape=(), dtype=float32)",0.5085495
"tf.Tensor(4.4151945, shape=(), dtype=float32)",0.27258703
"tf.Tensor(4.2466526, shape=(), dtype=float32)",0.8026994
"tf.Tensor(4.4054427, shape=(), dtype=float32)",0.33880305
"tf.Tensor(4.4086056, shape=(), dtype=float32)",0.57660526
"tf.Tensor(4.1436954, shape=(), dtype=float32)",0.63635224
"tf.Tensor(4.6785655, shape=(), dtype=float32)",0.14428818
"tf.Tensor(4.4278607, shape=(), dtype=float32)",0.92960644
"tf.Tensor(4.744483, shape=(), dtype=float32)",0.13417365
"tf.Tensor(4.3939996, shape=(), dtype=float32)",0.5932324
"tf.Tensor(4.3430367, shape=(), dtype=float32)",0.4283693
"tf.Tensor(4.593365, shape=(), dtype=float32)",0.583478
"tf.Tensor(4.403728, shape=(), dtype=float32)",0.40158778
"tf.Tensor(4.462583, shape=(), dtype=float32)",0.72405773
"tf.Tensor(4.794516, shape=(), dtype=float32)",0.29382876
"tf.Tensor(4.224444, shape=(), dtype=float32)",1.2067001
"tf.Tensor(4.861559, shape=(), dtype=float32)",0.11553336
"tf.Tensor(4.4289203, shape=(), dtype=float32)",0.646798
"tf.Tensor(4.387341, shape=(), dtype=float32)",0.35299852
"tf.Tensor(4.4460726, shape=(), dtype=float32)",0.6883838
"tf.Tensor(4.5079813, shape=(), dtype=float32)",0.5424662
"tf.Tensor(4.5872207, shape=(), dtype=float32)",0.69586647
"tf.Tensor(4.6536245, shape=(), dtype=float32)",0.5492104
"tf.Tensor(4.728704, shape=(), dtype=float32)",0.78224456
"tf.Tensor(4.734251, shape=(), dtype=float32)",0.3300765
"tf.Tensor(4.471909, shape=(), dtype=float32)",0.68474036
"tf.Tensor(4.5809555, shape=(), dtype=float32)",0.53250897
"tf.Tensor(4.6794453, shape=(), dtype=float32)",0.56294245
"tf.Tensor(4.387571, shape=(), dtype=float32)",0.6816684
"tf.Tensor(4.7389174, shape=(), dtype=float32)",0.3901557
"tf.Tensor(4.507788, shape=(), dtype=float32)",0.6927432
"tf.Tensor(4.5264783, shape=(), dtype=float32)",0.5943961
"tf.Tensor(4.75309, shape=(), dtype=float32)",0.6678312
"tf.Tensor(4.5129666, shape=(), dtype=float32)",0.44814175
"tf.Tensor(4.6205854, shape=(), dtype=float32)",0.53371185
"tf.Tensor(4.735481, shape=(), dtype=float32)",0.4888553
"tf.Tensor(4.749291, shape=(), dtype=float32)",0.5996938
"tf.Tensor(4.6947846, shape=(), dtype=float32)",0.5486733
"tf.Tensor(4.7293653, shape=(), dtype=float32)",0.48381695
"tf.Tensor(4.342431, shape=(), dtype=float32)",0.76540315
"tf.Tensor(4.610642, shape=(), dtype=float32)",0.45285198
"tf.Tensor(4.5407214, shape=(), dtype=float32)",0.5792987
"tf.Tensor(4.712989, shape=(), dtype=float32)",0.6169108
"tf.Tensor(4.5488544, shape=(), dtype=float32)",0.6920436
"tf.Tensor(4.612832, shape=(), dtype=float32)",0.54595023
"tf.Tensor(4.711292, shape=(), dtype=float32)",0.6399833
"tf.Tensor(4.7764344, shape=(), dtype=float32)",0.571592
"tf.Tensor(4.664321, shape=(), dtype=float32)",0.6624681
"tf.Tensor(4.5981045, shape=(), dtype=float32)",0.57763034
"tf.Tensor(4.578396, shape=(), dtype=float32)",0.6834617
"tf.Tensor(4.6477537, shape=(), dtype=float32)",0.57709134
"tf.Tensor(4.7344737, shape=(), dtype=float32)",0.5439741
