d_loss,gradient_norm
"tf.Tensor(3.8711793, shape=(), dtype=float32)",0.13638964
"tf.Tensor(3.894438, shape=(), dtype=float32)",0.086337
"tf.Tensor(3.9185686, shape=(), dtype=float32)",0.037702844
"tf.Tensor(4.1004252, shape=(), dtype=float32)",0.03377574
"tf.Tensor(4.201973, shape=(), dtype=float32)",0.03152431
"tf.Tensor(4.149191, shape=(), dtype=float32)",0.013227812
"tf.Tensor(4.340532, shape=(), dtype=float32)",0.013008443
"tf.Tensor(4.496195, shape=(), dtype=float32)",0.012979461
"tf.Tensor(4.5195074, shape=(), dtype=float32)",0.0119969
"tf.Tensor(4.4332395, shape=(), dtype=float32)",0.007755493
"tf.Tensor(4.5477905, shape=(), dtype=float32)",0.007812464
"tf.Tensor(4.463412, shape=(), dtype=float32)",0.0066237594
"tf.Tensor(4.557221, shape=(), dtype=float32)",0.014849895
"tf.Tensor(4.4790187, shape=(), dtype=float32)",0.0045272172
"tf.Tensor(4.779817, shape=(), dtype=float32)",0.013299731
"tf.Tensor(4.3072724, shape=(), dtype=float32)",0.001815438
"tf.Tensor(5.819603, shape=(), dtype=float32)",0.024257464
"tf.Tensor(4.529137, shape=(), dtype=float32)",0.0025419604
"tf.Tensor(5.1555357, shape=(), dtype=float32)",0.44140726
"tf.Tensor(5.3716965, shape=(), dtype=float32)",0.0015381494
"tf.Tensor(4.65549, shape=(), dtype=float32)",0.0002169852
"tf.Tensor(5.1372232, shape=(), dtype=float32)",0.26167083
"tf.Tensor(4.642391, shape=(), dtype=float32)",1.1241985e-07
"tf.Tensor(7.003972, shape=(), dtype=float32)",0.00012915373
"tf.Tensor(6.6698246, shape=(), dtype=float32)",0.0013935318
"tf.Tensor(4.564335, shape=(), dtype=float32)",2.0810196e-05
"tf.Tensor(6.87788, shape=(), dtype=float32)",0.00021265206
"tf.Tensor(6.1501727, shape=(), dtype=float32)",4.5372085e-06
"tf.Tensor(5.864915, shape=(), dtype=float32)",1.5292045e-08
"tf.Tensor(8.462, shape=(), dtype=float32)",3.9523915e-08
"tf.Tensor(6.7413774, shape=(), dtype=float32)",6.04166e-06
"tf.Tensor(9.4444, shape=(), dtype=float32)",1.4885642e-05
"tf.Tensor(7.777771, shape=(), dtype=float32)",6.303092e-05
"tf.Tensor(4.7564135, shape=(), dtype=float32)",1.6204416e-08
"tf.Tensor(4.7300663, shape=(), dtype=float32)",2.6973961e-05
"tf.Tensor(7.0285187, shape=(), dtype=float32)",2.1145088e-06
"tf.Tensor(5.2027445, shape=(), dtype=float32)",0.0001009319
"tf.Tensor(7.3102984, shape=(), dtype=float32)",7.904699e-07
"tf.Tensor(7.3241267, shape=(), dtype=float32)",0.06164393
"tf.Tensor(5.5806866, shape=(), dtype=float32)",0.0006705173
"tf.Tensor(6.4072046, shape=(), dtype=float32)",0.00044687904
"tf.Tensor(5.1425276, shape=(), dtype=float32)",3.0636927e-06
"tf.Tensor(4.7029552, shape=(), dtype=float32)",0.0034358366
"tf.Tensor(4.51637, shape=(), dtype=float32)",0.0067100525
"tf.Tensor(5.227084, shape=(), dtype=float32)",0.0019690213
"tf.Tensor(4.741307, shape=(), dtype=float32)",0.59397703
"tf.Tensor(4.6699715, shape=(), dtype=float32)",1.1340026e-07
"tf.Tensor(5.6186037, shape=(), dtype=float32)",8.606745e-09
"tf.Tensor(8.259788, shape=(), dtype=float32)",0.0008485704
"tf.Tensor(4.6614976, shape=(), dtype=float32)",4.593739e-06
"tf.Tensor(4.6538296, shape=(), dtype=float32)",0.00027813853
"tf.Tensor(5.391288, shape=(), dtype=float32)",0.18421522
"tf.Tensor(6.4832983, shape=(), dtype=float32)",0.010145154
"tf.Tensor(7.561692, shape=(), dtype=float32)",8.3556086e-05
"tf.Tensor(8.382113, shape=(), dtype=float32)",0.115279466
"tf.Tensor(4.7323084, shape=(), dtype=float32)",0.06703234
"tf.Tensor(4.695077, shape=(), dtype=float32)",8.2962003e-07
"tf.Tensor(5.6782894, shape=(), dtype=float32)",0.0010882815
"tf.Tensor(5.5727787, shape=(), dtype=float32)",2.7153944e-06
"tf.Tensor(6.010878, shape=(), dtype=float32)",4.0854127e-07
