d_loss,gradient_norm
"tf.Tensor(3.89637, shape=(), dtype=float32)",0.03276525
"tf.Tensor(3.3664253, shape=(), dtype=float32)",0.03259135
"tf.Tensor(3.3777964, shape=(), dtype=float32)",0.021712443
"tf.Tensor(3.25338, shape=(), dtype=float32)",0.021503923
"tf.Tensor(3.3193827, shape=(), dtype=float32)",0.027873028
"tf.Tensor(3.2994843, shape=(), dtype=float32)",0.04084769
"tf.Tensor(3.1778126, shape=(), dtype=float32)",0.04234754
"tf.Tensor(3.3037405, shape=(), dtype=float32)",0.061237935
"tf.Tensor(3.3551526, shape=(), dtype=float32)",0.078428246
"tf.Tensor(3.3471642, shape=(), dtype=float32)",0.06567778
"tf.Tensor(3.382731, shape=(), dtype=float32)",0.07439439
"tf.Tensor(3.1273077, shape=(), dtype=float32)",0.08248172
"tf.Tensor(3.1584985, shape=(), dtype=float32)",0.117201746
"tf.Tensor(3.063814, shape=(), dtype=float32)",0.052114934
"tf.Tensor(2.875, shape=(), dtype=float32)",0.14365946
"tf.Tensor(2.8981342, shape=(), dtype=float32)",0.07137138
"tf.Tensor(3.0084763, shape=(), dtype=float32)",0.19045767
"tf.Tensor(3.032072, shape=(), dtype=float32)",0.13288772
"tf.Tensor(2.863479, shape=(), dtype=float32)",0.22807567
"tf.Tensor(3.198352, shape=(), dtype=float32)",0.021963617
"tf.Tensor(2.7667603, shape=(), dtype=float32)",0.22901814
"tf.Tensor(3.184666, shape=(), dtype=float32)",0.05710677
"tf.Tensor(2.5536227, shape=(), dtype=float32)",0.21082589
"tf.Tensor(2.819942, shape=(), dtype=float32)",0.019571727
"tf.Tensor(2.5283375, shape=(), dtype=float32)",0.64444906
"tf.Tensor(3.2406406, shape=(), dtype=float32)",0.001595212
"tf.Tensor(3.0437617, shape=(), dtype=float32)",0.07526156
"tf.Tensor(2.5646548, shape=(), dtype=float32)",0.2913564
"tf.Tensor(3.2729504, shape=(), dtype=float32)",0.030106792
"tf.Tensor(2.6619594, shape=(), dtype=float32)",0.26967117
"tf.Tensor(2.95034, shape=(), dtype=float32)",0.09023737
"tf.Tensor(2.8478606, shape=(), dtype=float32)",0.3958516
"tf.Tensor(3.1286082, shape=(), dtype=float32)",0.07172074
"tf.Tensor(2.5321236, shape=(), dtype=float32)",1.0309613
"tf.Tensor(3.279208, shape=(), dtype=float32)",0.0023070253
"tf.Tensor(3.1109416, shape=(), dtype=float32)",0.05704536
"tf.Tensor(3.0480165, shape=(), dtype=float32)",0.5685337
"tf.Tensor(3.1668425, shape=(), dtype=float32)",0.07475418
"tf.Tensor(2.4799848, shape=(), dtype=float32)",2.4635224
"tf.Tensor(3.5649858, shape=(), dtype=float32)",0.005325737
"tf.Tensor(3.5377274, shape=(), dtype=float32)",0.0047382712
"tf.Tensor(3.261509, shape=(), dtype=float32)",0.10103003
"tf.Tensor(3.2122095, shape=(), dtype=float32)",0.2092221
"tf.Tensor(2.6391637, shape=(), dtype=float32)",1.3316886
"tf.Tensor(3.3671727, shape=(), dtype=float32)",0.004899087
"tf.Tensor(3.0935895, shape=(), dtype=float32)",0.07871035
"tf.Tensor(3.024359, shape=(), dtype=float32)",0.50236946
"tf.Tensor(2.473309, shape=(), dtype=float32)",1.3723159
"tf.Tensor(3.3748822, shape=(), dtype=float32)",0.004525887
"tf.Tensor(3.1817994, shape=(), dtype=float32)",0.1551505
"tf.Tensor(2.5682566, shape=(), dtype=float32)",1.3105785
"tf.Tensor(3.3608203, shape=(), dtype=float32)",0.009956781
"tf.Tensor(3.1064062, shape=(), dtype=float32)",0.20582107
"tf.Tensor(2.7512224, shape=(), dtype=float32)",1.9420397
