d_loss,gradient_norm
"tf.Tensor(6.6277857, shape=(), dtype=float32)",0.58025867
"tf.Tensor(6.2050395, shape=(), dtype=float32)",0.4894485
"tf.Tensor(5.9303546, shape=(), dtype=float32)",0.4682749
"tf.Tensor(5.1122584, shape=(), dtype=float32)",0.42610297
"tf.Tensor(4.8033237, shape=(), dtype=float32)",0.41860753
"tf.Tensor(4.4280534, shape=(), dtype=float32)",0.42725152
"tf.Tensor(4.4566975, shape=(), dtype=float32)",0.48415214
"tf.Tensor(4.1349664, shape=(), dtype=float32)",0.4440001
"tf.Tensor(3.4146516, shape=(), dtype=float32)",0.44863316
"tf.Tensor(3.5089173, shape=(), dtype=float32)",0.4279264
"tf.Tensor(3.3426778, shape=(), dtype=float32)",0.43699306
"tf.Tensor(3.444457, shape=(), dtype=float32)",0.29998672
"tf.Tensor(3.6219492, shape=(), dtype=float32)",0.31241846
"tf.Tensor(3.434321, shape=(), dtype=float32)",0.35336447
"tf.Tensor(3.6462054, shape=(), dtype=float32)",0.29030573
"tf.Tensor(3.5238166, shape=(), dtype=float32)",0.33400723
"tf.Tensor(3.5945184, shape=(), dtype=float32)",0.3487957
"tf.Tensor(3.7100754, shape=(), dtype=float32)",0.36569867
"tf.Tensor(4.060635, shape=(), dtype=float32)",0.3486982
"tf.Tensor(3.614685, shape=(), dtype=float32)",0.45103124
"tf.Tensor(3.5617836, shape=(), dtype=float32)",0.46358797
"tf.Tensor(3.7744584, shape=(), dtype=float32)",0.511094
"tf.Tensor(3.5453393, shape=(), dtype=float32)",0.60899305
"tf.Tensor(3.9459014, shape=(), dtype=float32)",0.5962783
"tf.Tensor(3.7003481, shape=(), dtype=float32)",0.63709813
"tf.Tensor(3.844307, shape=(), dtype=float32)",0.61945784
"tf.Tensor(3.8437543, shape=(), dtype=float32)",0.71116054
"tf.Tensor(3.8109493, shape=(), dtype=float32)",0.7114225
"tf.Tensor(3.5542111, shape=(), dtype=float32)",0.87981266
"tf.Tensor(3.5273802, shape=(), dtype=float32)",1.0000792
"tf.Tensor(3.4403067, shape=(), dtype=float32)",1.0523376
"tf.Tensor(3.3849597, shape=(), dtype=float32)",1.1449687
"tf.Tensor(3.4505224, shape=(), dtype=float32)",1.3053368
"tf.Tensor(3.5447774, shape=(), dtype=float32)",1.3200371
"tf.Tensor(3.7837741, shape=(), dtype=float32)",1.419238
"tf.Tensor(3.6923304, shape=(), dtype=float32)",1.4407303
"tf.Tensor(3.7279725, shape=(), dtype=float32)",1.5821515
"tf.Tensor(3.8616695, shape=(), dtype=float32)",1.5428184
"tf.Tensor(3.8801713, shape=(), dtype=float32)",1.5165642
"tf.Tensor(4.0409784, shape=(), dtype=float32)",1.4868602
"tf.Tensor(4.2847667, shape=(), dtype=float32)",1.5187715
"tf.Tensor(4.3633895, shape=(), dtype=float32)",1.5746108
"tf.Tensor(4.666362, shape=(), dtype=float32)",1.6525302
"tf.Tensor(4.6717606, shape=(), dtype=float32)",1.64109
"tf.Tensor(4.997319, shape=(), dtype=float32)",1.5204966
"tf.Tensor(5.128236, shape=(), dtype=float32)",1.5365819
"tf.Tensor(5.449439, shape=(), dtype=float32)",1.521941
