fd_score
28326.475
28038.164
27755.326
27423.342
27391.822
27162.857
26849.725
25888.867
25463.44
24924.348
24122.324
23455.648
23386.24
22434.377
21470.104
20620.076
19932.17
19057.002
18588.543
17941.4
16523.707
16281.223
16139.064
14829.054
14788.531
14069.775
13572.206
13158.541
12712.455
12471.896
12482.791
11863.924
12016.45
11369.023
11400.727
11519.133
10418.441
10705.895
9458.265
9860.539
9649.894
9875.681
7776.1367
6879.1445
5164.388
4092.311
3775.8838
2993.1536
2918.6753
2571.8535
2299.1494
2315.8542
2182.0916
2097.886
1999.2094
2046.7277
2115.0522
2135.9026
2098.7075
1891.8575
2089.143
2225.1936
1823.7018
1769.2017
1782.3407
2055.818
1698.8778
1752.101
1724.0533
1849.4027
1796.354
1691.6053
1649.3661
1733.0349
1831.3607
1796.4905
1638.1163
1693.7712
1665.9113
1624.6534
1631.7195
1694.9976
1671.9265
1620.4191
1756.9097
1680.9788
1660.4052
1969.6503
1636.361
1575.8142
1595.7767
1699.7223
1706.0596
1651.9586
1651.1228
1635.9021
1683.126
1692.0272
1775.9683
1696.1553
